cz
5300
13300
17600
27801
39203
38100
3102
24600
37500
29402
8401
6600
37602
6800
20600
2200
8503
21001
35902
21003
17501
34805
32302
34111
26104
34304
26201
34107
3700
12401
9100
28604
601
32602
7000
20500
17700
38901
1800
35600
8501
20302
25900
24500
36000
35100
12301
10200
29506
32303
29403
13502
28702
4002
27402
21801
35002
30000
37700
29504
10600
8900
18202
7300
7800
31004
5500
15200
36600
34803
26305
37800
5000
24400
3201
18201
31900
33000
34901
26601
38300
11500
5600
20100
26303
2000
38601
39000
3202
11303
27006
25401
22001
11101
20002
3902
38501
39202
25701
4003
39301
14900
21201
21802
27004
26803
34601
34701
27202
32403
6900
26502
30604
3002
9400
34801
36200
6700
26105
2500
22700
6000
26411
38802
27503
4903
6200
19800
10501
34702
22601
1201
13900
37100
34302
27802
29302
6501
10900
9701
29104
33200
4302
301
8100
4004
1203
13700
16500
29502
13103
3203
21900
16200
38902
14400
34103
26412
26002
25602
35803
15800
31202
800
38000
26410
22602
33300
29201
30300
30905
1400
11800
27005
32202
25402
26802
31503
7200
34307
16902
39100
35802
27601
5401
29503
27702
28504
32402
28800
25103
27003
4601
17300
602
12200
18000
36503
32701
38401
34106
33801
17400
30701
3400
19300
15500
4901
27603
23700
25104
18400
24801
4001
32801
11401
22800
19901
28503
2600
18600
34402
26501
6401
8800
34703
33500
34113
20902
10301
26004
2400
32601
37603
17900
26102
20401
39205
36403
28401
8702
31001
3003
36303
37300
14000
2100
12302
9002
32702
27007
11403
33400
6502
11402
36100
31005
31103
21502
10700
28202
34202
31002
28305
36302
8402
31700
36404
27002
30903
37903
11700
34902
23000
29001
13101
36700
4402
38402
200
39400
21202
23100
900
8202
35401
700
8201
13102
9500
23400
4102
32305
32301
26301
22400
23801
12702
9900
4101
31302
4502
29601
36401
29700
32100
23302
37200
12002
27009
27301
16901
22200
35500
35300
4701
16801
29203
30601
24701
29008
34204
16400
30908
29005
25101
28603
19000
28002
1204
26504
27903
12701
1202
20800
34115
38200
11202
26408
29301
11900
26503
21004
35001
27102
21701
4501
34112
11600
39201
34404
30602
4401
15600
34503
27011
16300
14801
23301
11301
10502
33100
37901
26103
26107
29007
35901
36800
39302
24200
28605
12100
21600
13501
3901
27302
8502
1002
39303
27008
36501
15900
1100
26406
9600
13800
32401
27901
28608
4800
35801
33603
5202
28301
16702
33802
19500
34603
28601
15300
21102
10302
3600
30200
28703
20403
18300
26404
34301
35904
6301
12903
26702
10802
15400
26304
12402
31402
30904
26604
36402
34501
37000
38602
14600
20700
402
14200
100
10102
31403
19200
4702
34308
12001
3300
16000
12901
23900
23200
29602
5800
19100
23500
8601
15700
401
4103
13000
29505
5700
22100
26603
32503
5900
28304
18500
17100
8602
7900
11001
20001
27703
27001
9003
18700
22900
9800
30702
26902
32304
26701
5201
35702
33700
13400
33902
22300
28201
29303
16703
31006
37400
32306
31401
33602
16802
25800
2700
38502
30906
36901
34303
16701
26801
29004
34001
26106
32000
9702
34502
14100
21702
37604
26409
19700
4902
19600
28001
38801
28900
10400
34201
16100
34110
7600
32604
25500
24000
27602
36902
9301
28609
31301
32501
11002
2300
31600
27502
11201
3500
31800
28306
6100
26901
3001
21501
32900
28101
9001
26302
17502
34504
12600
4602
21302
2900
31404
19902
3101
31007
30401
34203
25105
29202
12502
25200
26001
34802
20301
15000
18800
23600
34108
30502
7500
4301
18900
21400
26602
30801
24900
35201
30100
19400
31201
28701
31101
25702
11203
37601
34002
21101
26101
302
31501
11302
7400
30802
27201
16600
15100
14300
24802
31003
30402
33803
27605
28704
30902
27501
17200
24702
32502
28602
29401
35903
28302
35402
35701
31502
25601
27504
34102
26704
30901
14802
11304
6402
3800
17000
22500
29501
10801
14500
29006
9200
13600
20901
20003
5402
29204
12902
29800
24300
12800
29902
29103
13200
29101
14700
28102
29901
25000
9302
26605
28502
12501
34105
26203
1702
31102
19903
36502
24100
28607
34401
25102
27701
11102
1701
36301
33601
26703
8300
27704
1500
32201
4200
29003
32802
1900
10000
27101
6302
34602
5100
30403
22002
1001
7100
34403
10101
500
25300
33901
1301
31303
30603
34305
38700
1302
7700
35202
20200
30501
27401
23802
21301
17800
18100
8000
29102
2800
27902
8701
34109
21002
1600
